time,id,boll_num,money,first,second
8/7/2022,2022095,04  13  14  18  20  28  08,339954958,7,71
8/7/2022,2022094,06  11  13  16  19  31  02,333751422,3,71
8/7/2022,2022093,21  22  24  28  29  32  14,363673578,2,71
8/7/2022,2022092,07  10  16  20  21  27  11,337222664,20,71
8/7/2022,2022091,08  18  20  22  24  28  10,335981918,8,71
8/7/2022,2022090,01  04  25  27  29  30  07,365943774,7,98
8/4/2022,2022089,02  07  15  29  31  33  15,342434670,3,90
8/2/2022,2022088,03  09  15  17  20  22  06,340253450,20,168
7/31/2022,2022087,05  06  09  13  23  25  08,370042706,6,129
7/28/2022,2022086,01  04  08  21  23  24  11,345421240,8,61
7/26/2022,2022085,07  09  14  31  32  33  13,341538762,12,112
7/24/2022,2022084,03  18  23  24  25  32  09,368808592,5,97
7/21/2022,2022083,08  12  13  14  19  20  05,347550570,13,258
7/19/2022,2022082,04  10  11  23  30  32  14,347371994,3,79
7/17/2022,2022081,04  08  11  21  27  30  01,373064250,5,186
7/14/2022,2022080,05  12  15  17  18  27  04,342797508,9,129
7/12/2022,2022079,01  09  15  17  22  23  16,341273762,2,68
7/10/2022,2022078,01  04  05  15  17  31  09,366650644,6,69
7/7/2022,2022077,03  17  18  19  20  27  16,345118818,14,186
7/5/2022,2022076,08  09  10  13  24  29  02,342718328,14,142
7/3/2022,2022075,01  02  04  25  26  30  10,379959636,6,78
6/30/2022,2022074,05  07  15  19  29  33  15,354915638,6,131
6/28/2022,2022073,06  10  14  15  26  29  12,352213628,6,141
6/21/2022,2022070,04  06  09  27  28  33  02,356598990,9,226
6/19/2022,2022069,06  07  13  19  26  29  08,380359658,20,216
6/16/2022,2022068,07  12  15  24  26  29  06,354071622,7,170
6/14/2022,2022067,01  05  13  21  26  29  15,347891686,10,147
6/12/2022,2022066,06  11  14  20  27  30  09,370987262,33,281
6/9/2022,2022065,09  14  18  23  28  31  02,348395414,4,143
6/7/2022,2022064,04  06  12  13  17  31  16,340689068,12,81
6/5/2022,2022063,06  08  09  17  22  31  11,360023818,20,181
6/2/2022,2022062,16  18  20  21  23  33  05,329515310,5,69
5/31/2022,2022061,01  03  16  18  29  33  06,331252342,3,64
5/29/2022,2022060,16  18  19  24  28  32  01,361140396,3,80
5/26/2022,2022059,06  09  18  19  29  33  06,340378840,20,216
5/24/2022,2022058,06  13  14  23  31  33  01,336926030,10,126
5/22/2022,2022057,12  15  20  26  30  33  16,378857894,3,78
5/19/2022,2022056,01  06  11  14  17  26  15,352329270,6,162
5/17/2022,2022055,02  04  09  26  28  33  03,350153658,4,77
5/15/2022,2022054,08  12  21  27  28  33  11,391678014,21,92
5/12/2022,2022053,10  14  18  23  27  33  15,356510652,4,81
5/5/2022,2022050,03  05  08  14  27  33  08,363371278,16,141
5/3/2022,2022049,02  04  07  18  25  26  10,337463590,0,127
5/1/2022,2022048,05  07  17  20  26  31  14,357972850,4,180
4/28/2022,2022047,03  07  08  14  27  30  09,360230056,21,128
4/26/2022,2022046,02  11  24  25  27  30  14,358743356,9,132
4/24/2022,2022045,03  12  17  18  19  28  04,389120778,7,182
4/21/2022,2022044,01  07  08  21  23  29  06,362459788,11,123
4/19/2022,2022043,02  17  20  23  25  27  08,350215018,9,54
4/17/2022,2022042,05  10  11  21  22  30  13,376726628,10,175
4/14/2022,2022041,05  07  21  22  24  29  14,348280000,4,57
4/12/2022,2022040,03  12  14  16  31  33  12,343211044,15,119
4/10/2022,2022039,02  06  07  10  15  20  05,375104494,5,177
4/7/2022,2022038,09  12  13  16  24  32  04,348860576,5,67
4/5/2022,2022037,01  10  13  20  22  32  14,332623306,3,74
4/3/2022,2022036,02  03  14  16  26  31  02,362126634,7,110
3/31/2022,2022035,08  12  13  19  23  25  15,353577746,8,169
3/29/2022,2022034,14  17  26  31  32  33  10,361289854,9,49
3/27/2022,2022033,05  12  19  22  25  26  05,392018786,11,192
3/20/2022,2022030,12  23  24  26  27  30  05,376910184,18,55
3/17/2022,2022029,03  08  10  13  26  32  08,354275468,10,105
3/15/2022,2022028,05  11  20  22  23  29  09,359741624,9,330
3/13/2022,2022027,14  15  18  19  26  32  09,407429120,3,74
3/10/2022,2022026,03  04  10  15  22  24  02,390646552,10,129
3/8/2022,2022025,06  19  24  25  28  32  04,380028752,1,98
3/6/2022,2022024,07  09  10  14  19  24  15,412478136,2,154
3/3/2022,2022023,07  12  17  19  24  25  02,386299738,9,98
3/1/2022,2022022,01  07  11  15  17  19  06,374172850,9,162
2/27/2022,2022021,03  07  22  24  26  31  14,413793268,16,74
2/24/2022,2022020,09  11  14  22  30  32  01,376104336,1,52
2/22/2022,2022019,05  06  14  20  21  25  08,374092592,13,123
2/20/2022,2022018,07  11  16  17  30  32  16,392699896,2,178
2/17/2022,2022017,06  09  24  29  30  32  07,367332144,5,162
2/15/2022,2022016,05  10  19  20  29  31  14,370604868,15,336
2/13/2022,2022015,06  14  16  27  28  31  07,387014176,9,95
2/10/2022,2022014,06  07  13  14  15  27  04,353937416,7,469
2/8/2022,2022013,02  03  04  07  10  18  15,376000418,2,133
1/23/2022,2022010,12  18  19  20  21  32  15,403819420,7,139
1/20/2022,2022009,04  15  17  19  25  28  16,381172430,1,266
1/18/2022,2022008,02  03  07  09  20  21  13,377713752,3,132
1/16/2022,2022007,01  20  22  23  25  28  16,417998504,3,81
1/13/2022,2022006,03  06  09  15  22  31  02,389820756,7,173
1/11/2022,2022005,07  10  12  16  19  31  16,388503758,2,74
1/9/2022,2022004,05  19  24  28  30  32  14,441401912,9,62
1/6/2022,2022003,02  05  16  17  18  30  06,410382612,7,181
1/4/2022,2022002,02  12  21  23  25  31  08,408646714,9,134
1/2/2022,2022001,06  13  15  17  20  21  03,447434510,4,83
12/30/2021,2021150,09  14  20  21  24  26  04,456402254,37,239
12/28/2021,2021149,05  10  15  18  19  32  05,425925826,8,103
12/26/2021,2021148,10  12  15  17  19  20  08,459686850,8,175
12/23/2021,2021147,05  10  11  13  27  28  09,457370132,13,194
12/21/2021,2021146,07  09  21  22  26  32  03,480619582,6,103
12/19/2021,2021145,04  07  10  14  16  26  09,517254362,10,159
12/16/2021,2021144,02  05  13  15  23  26  07,483556078,5,172
12/14/2021,2021143,01  09  11  13  20  29  09,475857912,41,158
12/7/2021,2021140,05  10  16  26  27  33  01,479975520,20,694
12/5/2021,2021139,12  14  19  23  24  27  01,531219172,14,193
12/2/2021,2021138,11  14  15  16  27  32  09,486491502,20,123
11/30/2021,2021137,03  07  10  14  21  24  01,474456734,19,274
11/28/2021,2021136,02  06  09  15  19  28  16,517068910,10,319
11/25/2021,2021135,03  10  17  19  21  31  04,486663630,1,124
11/23/2021,2021134,01  02  16  19  25  31  08,472467398,11,109
11/21/2021,2021133,01  03  12  19  27  31  10,511607016,12,171
11/18/2021,2021132,01  04  06  14  20  28  08,490071244,6,171
11/16/2021,2021131,08  11  18  19  20  24  01,465860738,6,116
11/14/2021,2021130,08  09  15  24  26  30  06,398037824,12,155
11/11/2021,2021129,04  15  21  27  28  29  10,365299936,5,139
11/9/2021,2021128,05  17  20  21  23  33  04,349441520,3,66
11/7/2021,2021127,07  15  16  20  27  29  07,365976552,10,96
11/4/2021,2021126,19  20  23  27  28  31  01,358964852,6,90
11/2/2021,2021125,14  19  20  23  24  31  09,354978672,4,84
